image_id,file_name,complexity,entities,actions,structure_who,structure_what,structure_where,structure_color,structure_shape,structure_sound,structure_size,structure_number,structure_movement,structure_mood,question_who,question_what,question_where,question_color,question_shape,question_sound,question_size,question_number,question_movement,question_mood
001,img_001.png,1,cat; window; curtains,sleeping,a cat,cat is sleeping,on a window sill,orange; blue,rectangular window,quiet or silence,cat is small compared to window,one cat; two curtains,stillness,calm and peaceful,Tell me about the character you see in the picture. What do they look like?,Describe what is happening in the picture. What is the cat doing?,Where is the cat resting? Can you describe the setting?,What colors do you notice in the picture? Describe them.,Look at the shapes in the picture. What shapes can you find?,"If you were in this scene, what sounds might you hear or not hear?",Describe the size of the cat compared to the window. What do you notice?,How many main things can you count in the picture? What are they?,Is anything moving in the picture? How can you tell?,"What mood or feeling does this picture give you, and what in the picture makes you feel that way?"
002,img_002.png,1,dog; ball; trees; grass,dog jumping; ball in air,a dog,dog playing with a ball,park with trees and grass,"green, orange, blue","round ball, oval dog","barking, ball bouncing",dog larger than ball,"one dog, one ball",dog jumping,playful and happy,Tell me about the main character you see in the picture. What do they look like?,Describe what is happening in this scene. What is the dog doing?,Where do you think this scene is taking place? What makes you think that?,What colors do you notice in the picture? How do they make the scene feel?,Describe the shapes you see in the picture. How do these shapes help you understand what's happening?,Imagine you are in this scene. What sounds might you hear?,Look at the dog and the ball. How do their sizes compare to each other?,How many main things are in this picture? Can you name them?,How can you tell that the dog is moving? What clues in the picture show this?,What mood or feeling does this picture give you? What in the picture makes you feel that way?
003,img_003.png,2,boy;girl;sandcastle;shovel,building sandcastle;looking sad,boy and girl,building a sandcastle,beach,blue;yellow;red,castle shape;shovel shape,waves;shovel digging,children are small;castle is medium,two children;one sandcastle,still;focused on building,sad or disappointed,Tell me about the children you see in the picture. What do they look like?,Describe what the children are doing with the sandcastle.,Where do you think this scene is taking place? What clues tell you that?,What colors do you notice in the picture? How do they make the scene feel?,Describe the shapes you see in the sandcastle and the shovel.,Imagine you are at this beach. What sounds might you hear around you?,How do the sizes of the children compare to the sandcastle?,"How many children are there, and what are they doing?",Do you think anything in the picture is moving? Why or why not?,"What mood do you think the children are feeling, and what in the picture makes you think that?"
004,img_004.png,1,bird; branch; leaves,bird perched,yellow bird,bird perched on branch,on a tree branch,yellow; brown; green; blue,oval body; pointed beak,bird chirping,bird smaller than branch,one bird; three leaves,bird is still,calm and peaceful,Tell me about the bird you see. What does it look like?,Describe what the bird is doing on the branch.,Where is the bird sitting? What can you see around it?,What colors do you notice in the picture? Describe them.,Can you describe the shapes you see in the bird and the branch?,Imagine you are there. What sounds might you hear from the bird?,Describe how the size of the bird compares to the branch.,How many leaves can you count on the branch? Tell me about them.,Is the bird moving or still? How can you tell?,"What mood does this picture give you, and why do you think that is?"
005,img_005.png,2,fox; trees; path,fox walking,a fox,fox walking on a path,in a forest,orange; green; brown,round trees; long path,soft footsteps,fox smaller than trees,one fox; several trees,fox moving,calm and peaceful,Tell me about the character you see in the picture. What does it look like?,Describe what is happening with the fox in this picture.,Where do you think this scene is taking place? What makes you think that?,What colors do you notice in the picture? How do they make the picture feel?,Describe the shapes you see in the picture. How do they fit together?,Imagine you are in this scene. What sounds might you hear?,Compare the size of the fox to the trees. What do you notice?,How many trees can you see? What about the fox?,How can you tell that the fox is moving? What clues do you see?,What mood or feeling does this picture give you? What in the picture makes you feel that way?
006,img_006.png,2,girl; easel; painting; paintbrush; palette,painting; smiling,girl painting,girl painting a picture,art studio or room,yellow; orange; blue; red,circle; curved lines,quiet; brush strokes,easel taller than girl,four paint colors,brush moving on canvas,happy; creative,Tell me about the person you see in the picture. What are they doing?,Describe what is happening in this scene. What is the girl creating?,Where do you think this scene is taking place? What makes you think that?,What colors do you see in the painting and on the palette? How do they make you feel?,Look at the painting on the easel. What shapes can you find?,Imagine you are in this room. What sounds might you hear as the girl paints?,Compare the size of the easel to the girl. What do you notice?,How many different colors of paint are on the palette? Can you name them?,How can you tell that the girl is painting? What movements do you see?,"What mood or feeling does this picture give you, and what in the picture makes you feel that way?"
007,img_007.png,1,robot; flower; bench,sitting; holding a flower,a robot,robot holding a flower,on a bench in a park,gray; red; green; blue,rectangular bench; round flower,quiet park sounds,robot is small compared to bench,one robot; one flower,stillness,sad or thoughtful,Tell me about the character you see. What does it look like?,Describe what the robot is doing in this picture.,Where do you think this scene is taking place? What makes you think that?,What colors do you notice in the picture? How do they make you feel?,Describe the shapes you see in the picture. What stands out to you?,Imagine you are in this scene. What sounds might you hear?,Look at the robot and the bench. How do their sizes compare?,How many main things do you see in the picture? Tell me about them.,Is anything moving in this image? How can you tell?,"What mood or feeling does this picture give you, and what in the picture makes you feel that way?"
008,img_008.png,2,child; butterflies; flowers; bushes,running; catching butterflies,child with a net,child chasing butterflies,outdoors in a garden,red; yellow; green; blue,round bushes; oval butterflies,laughter; fluttering wings,child larger than butterflies,two butterflies; three flowers,running and flying,joyful and playful,Tell me about the character you see. What are they doing?,Describe what is happening in the picture. What is the child trying to do?,Where do you think this scene is taking place? What makes you think that?,Describe the colors you see in the picture. How do they make the scene feel?,Look at the shapes in the picture. Can you describe the shapes of the butterflies?,Imagine the sounds in this scene. What do you think you might hear?,Compare the sizes of the child and the butterflies. How do they differ?,Count the butterflies and flowers. How many of each are there?,How can you tell that the child and butterflies are moving? Describe their movements.,What mood or feeling does this picture give you? What in the picture makes you feel that way?
009,img_009.png,1,boat;water;clouds;hills,floating,a boat,boat floating on water,lake with hills and clouds,blue;green;brown;white,oval boat;round clouds,gentle water lapping,boat smaller than hills,one boat; two clouds,boat gently floating,calm and peaceful,Tell me about the main object you see in the picture. What does it look like?,Describe what is happening with the boat in the picture.,Where do you think this scene is taking place? What makes you think that?,What colors do you see in the picture? Describe where you see them.,Can you describe the shapes you notice in the picture? What stands out to you?,Imagine you are in this scene. What sounds do you think you would hear?,Look at the boat and the hills. How do their sizes compare?,How many clouds can you see in the sky? What else is there one of?,What tells you that the boat is moving or still? Describe what you see.,"What feeling does this picture give you, and what details in the picture make you feel that way?"
010,img_010.png,2,boy; rain; window,looking out the window,a boy,looking out the window,inside a room,blue; yellow,rectangular window,rain falling,boy is smaller than window,one boy,raindrops falling,sad or thoughtful,Tell me about the character you see. What does he look like and what might he be feeling?,Describe what the boy is doing in the picture.,Where do you think this scene is taking place? What makes you think that?,"What colors do you see in the picture, and how do they make you feel?",Describe the shapes you notice in the picture. How do they fit together?,Imagine you are in this scene. What sounds might you hear?,Compare the size of the boy to the window. How does this make you feel about the scene?,How many people do you see in the picture? What might he be thinking about?,What movement do you see in the picture? How can you tell?,"What mood or feeling does this picture give you, and what in the picture makes you feel that way?"
011,img_011.png,1,two rabbits; grassy field; sky,hopping,two rabbits,rabbits hopping,grassy field,blue sky; green grass,round bodies; oval ears,soft thumping,rabbits are small,two rabbits,hopping in the air,playful and happy,Tell me about the animals you see. What do they look like?,Describe what the rabbits are doing in this picture.,Where do you think these rabbits are playing? What makes you think that?,What colors can you see in the picture? Describe where you see them.,Look at the rabbits' bodies and ears. How would you describe their shapes?,Imagine you are in this scene. What sounds might you hear as the rabbits hop?,How big do you think the rabbits are compared to the grass? Why?,"How many rabbits are there, and what are they doing together?",How can you tell that the rabbits are moving? Describe their movement.,"What mood do you think this picture has, and what in the picture gives you that feeling?"
012,img_012.png,2,squirrel; acorns; basket; trees,holding acorn; acorns on ground,squirrel,squirrel holding acorn,park with trees,brown; green,round acorns; bushy tail,rustling leaves,squirrel larger than acorns,several acorns,stillness,focused; busy,Tell me about the character you see. What does it look like and what is it doing?,Describe what is happening in this picture. What is the main action?,Where do you think this scene is taking place? What makes you think that?,What colors do you notice in the picture? How do they make the scene feel?,Look at the shapes in the picture. Can you describe any that stand out to you?,Imagine you are in this scene. What sounds do you think you might hear?,Compare the sizes of the squirrel and the acorns. How do they relate to each other?,How many acorns can you see? Describe their placement in the scene.,Does anything in the picture seem to be moving? Why or why not?,"What mood or feeling does this picture give you, and what in the picture makes you feel that way?"
013,img_013.png,1,boy; pitcher; glass; juice,pouring juice,a boy,pouring juice into a glass,kitchen,orange; blue; brown,round pitcher; cylindrical glass,pouring liquid,pitcher larger than the glass,one boy; one pitcher; one glass,juice flowing from pitcher,calm and focused,Tell me about the person you see in the picture. What are they doing?,Describe what is happening in this image. What is the boy doing with the juice?,Where do you think this scene is taking place? What makes you think that?,What colors do you notice in the picture? How do they make the scene look?,Look at the pitcher and the glass. How would you describe their shapes?,Imagine you are in the room. What sounds might you hear as the boy pours the juice?,"Compare the pitcher and the glass. Which one is bigger, and how can you tell?",How many main things do you see in the picture? Can you list them?,Describe the movement you see. What is happening to the juice?,What mood or feeling does this picture give you? Why do you think that?
014,img_014.png,2,cat; birds; window; sky; clouds,sitting; flying,cat and two birds,cat watching birds,inside near a window,orange; blue; green,round clouds; bird wings,chirping of birds,cat larger than birds,one cat; two birds,birds flying; cat still,curious and peaceful,Tell me about the characters you see in the picture. What do they look like?,Describe what is happening in the picture. What is the cat doing?,Where do you think this scene is taking place? What clues tell you that?,What colors do you notice in the picture? How do they make you feel?,Describe the shapes you see in the picture. What stands out to you?,Imagine the sounds this scene might have. What do you think you would hear?,Look at the sizes of the animals. How does the size of the cat compare to the birds?,"How many animals do you see, and what are they doing?",What movements do you notice in the picture? How can you tell something is moving?,"What mood or feeling does this picture give you, and what in the picture makes you feel that way?"
015,img_015.png,1,girl; notebook; pencil,thinking; drawing,girl with orange hair,girl is drawing,at a table,orange; blue; beige,circle on paper,quiet thinking,girl is bigger than notebook,one girl; one notebook,still; hand holding pencil,thoughtful; pensive,Tell me about the person you see in the picture. What do they look like?,Describe what the girl is doing with the pencil and notebook.,Where do you think this scene is taking place? What makes you think that?,What colors do you notice in the picture? How do they make you feel?,Look at the notebook. What shapes do you see on the paper?,Imagine you are in the room with the girl. What sounds might you hear?,Describe the size of the girl compared to the notebook. Why do you think it's that way?,How many people and objects can you count in the picture?,Is anything moving in the picture? How can you tell?,What mood do you think the girl is in? What in the picture gives you that idea?
016,img_016.png,2,fox;stars;clouds;hill,sitting;looking up,a fox,fox looking at stars,on a grassy hill,orange;blue;green;white,round clouds;star shapes,quiet;peaceful,fox smaller than clouds,two clouds;five stars,stillness,calm and serene,Tell me about the main character you see. What does it look like?,Describe what the fox is doing in this picture.,Where is the fox sitting? Describe the place.,What colors do you notice in the picture? Describe them.,Look at the clouds and stars. How would you describe their shapes?,Imagine you are in this scene. What sounds might you hear?,Compare the size of the fox to the clouds. How do they differ?,How many clouds and stars can you count? Describe them.,Is anything moving in the picture? How can you tell?,"What mood or feeling does this picture give you, and what in the picture makes you feel that way?"
017,img_017.png,2,two birds; tree; nest; branch,building a nest,two yellow birds,birds building a nest,on a tree branch,yellow; brown; green; blue,round nest; oval birds,chirping of birds,birds are small; tree is large,two birds; one nest,birds placing twig,busy and peaceful,Tell me about the characters you see in the picture. What do they look like?,Describe what is happening in this picture. What are the birds doing?,Where do you think this scene is taking place? What makes you think that?,What colors do you see in this picture? How do they make the picture feel?,"Describe the shapes you notice in the picture, like the nest and the birds.",Imagine you are there. What sounds might you hear from the birds?,Look at the sizes of things. How do the birds compare to the tree?,How many birds and nests do you see? Can you describe them?,What do you notice about the birds' movement? How can you tell they are busy?,"What mood or feeling does this picture give you, and what in the picture makes you feel that way?"
018,img_018.png,1,child; swing; playground,swinging; smiling,a child,swinging on a swing,playground with hills,blue; green; yellow; orange,rectangular swing set; oval ground,swing creaking; child laughing,child smaller than swing set,one child; one swing,swinging back and forth,happy and playful,Tell me about the person you see in the picture. What are they doing?,Describe what is happening in this picture. What is the child doing?,Where do you think this scene is taking place? What makes you think that?,What colors do you notice in the picture? How do they make the scene feel?,Look at the shapes in the picture. Can you describe the shapes you see?,Imagine you are in this scene. What sounds do you think you would hear?,Describe the size of the child compared to the swing set. What do you notice?,How many people and swings do you see in the picture? Tell me more about them.,How can you tell that the swing is moving? Describe what you see.,What mood or feeling does this picture give you? What in the picture makes you feel that way?
019,img_019.png,1,dog; sun; cloud; grass,dog sleeping,a brown dog,dog is sleeping,outside on grass,brown; green; blue; yellow,round sun; fluffy cloud,quiet; peaceful,dog is medium; sun is large,one dog; one sun; one cloud,stillness,calm and peaceful,Tell me about the animal you see. What does it look like?,Describe what is happening with the dog in this picture.,Where do you think this dog is resting? What makes you think that?,What colors can you see in this picture? Describe where you see them.,Look at the shapes in the picture. Can you describe the shape of the sun and the cloud?,Imagine you are in this scene. What sounds do you think you would hear?,Describe the size of the dog compared to the sun. What do you notice?,How many main things can you count in this picture? What are they?,Is anything moving in this picture? How can you tell?,What feeling does this picture give you? What in the picture makes you feel that way?
020,img_020.png,1,monkey; bananas; grass,holding bananas; sitting,a monkey,monkey holding bananas,on grass,brown; yellow; green,round face; oval bananas,quiet; gentle rustling,small monkey; small bananas,two bananas,still,happy and content,Tell me about the character you see. What does it look like?,Describe what is happening in this picture with the monkey.,Where do you think this scene is taking place? What clues help you know?,What colors do you see in this picture? Describe where they are.,Describe the different shapes you can find in the picture.,"If you were in this picture, what sounds might you hear?",Talk about the sizes of the monkey and the bananas. How do they compare?,How many bananas is the monkey holding? Describe them.,Is anything moving in this picture? How can you tell?,"What mood or feeling does this picture give you, and why do you think that?"
